id,name,muscle,equipment,description,benefits,instructions,rating
brachialis-smr,Brachialis SMR,Biceps,Foam Roll,"Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs.","Can encourage blood flow to the brachialis and biceps muscles
May be able to temporarily increase range of motion in the shoulder or elbow joints
Effective as part of a warm-up or post-workout recovery
Along with SMR targeting the pecs, some people find it can provide temporary relief from certain types of exercise-derived shoulder pain","Lie on your side, with your upper arm against the foam roller. The upper arm should be more or less aligned with your body, with the outside of the bicep pressed against the foam roller.
Raise your hips off of the floor, supporting your weight on your arm and on your feet. Hold for 10-30 seconds, and then switch sides.",3.2
seated-glute,Seated Glute,Glutes,Body Only,,,"In a seated position with your knees bent, cross one ankle over the opposite knee. Your partner will stand behind you. Now, lean forward as your partner braces your shoulders with their hands. This will be your starting position.
Attempt to push your torso back for 10-20 seconds, as your partner prevents any actual movement of your torso.
Now relax your muscles as your partner increases the stretch by gently pushing your torso forward for 10-20 seconds.",3.1
standing-pelvic-tilt,Standing Pelvic Tilt,Lower Back,None,,,"Start off with your feet hip-distance apart.
Bend your knees slightly to keep them soft and springy.
You may want to move your pelvis forward and backward and back few times before holding the tailbone forward in this stretch.",3.1
double-kettlebell-windmill,Double-kettlebell windmill,Shoulders,Kettlebells,"The double-kettlebell windmill is an advanced kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. Because it involves holding one weight overhead while holding another under the torso, it builds strength across the core and stability in the shoulders. It doesn't work well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.","Builds strength throughout the abdomen, particularly the deep core (transversus abdominus) and obliques
Gives intense strength stimulus even with relatively light weights
Builds shoulder stability, hip mobility, and thoracic spine mobility
Can use two different weights to change stimulus","Place a kettlebell in front of your front foot and clean and press a kettlebell overhead with your opposite arm. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulders. Rotate your wrist as you do so, so that the palm faces forward.
Keeping the kettlebell locked out at all times, push your butt out in the direction of the locked out kettlebell. Turn your feet out at a forty-five degree angle from the arm with the locked out kettlebell.
Bending at the hip to one side, sticking your butt out, slowly lean until you can retrieve the kettlebell from the floor. Keep your eyes on the kettlebell that you hold over your head at all times.
Pause for a second after retrieving the kettlebell from the ground and reverse the motion back to the starting position.",3.0
lying-glute,Lying Glute,Glutes,Body Only,,,"Lie on your back with your partner kneeling beside you.
Flex the hip of one leg, raising it off of the floor. Rotate the leg so the foot is over the opposite hip, the lower leg perpendicular to your body. Your partner should hold the knee and ankle in place. This will be your starting position.
Attempt to push your leg towards your partner, who should be preventing any actual movement of the leg.
After 10-20 seconds, completely relax as your partner gently pushes the ankle and knee towards your chest. Be sure to inform your helper when the stretch is adequate to prevent injury or overstretching.",3.0
chest-and-front-of-shoulder-stretch,Pass-through stretch with band,Chest,Other,The pass-through stretch with band is a popular move to build and maintain mobility in the shoulder joint and to strengthen the muscles of the upper back and rotator cuff. It is common in CrossFit and Olympic lifting training and is usually performed as part of a warm-up or paired with movements in a workout. It can also be performed with a PVC pipe or dowel if a band isn't available.,"Mobilizes shoulder and boosts blood flow in shoulder stabilizer muscles
Pulling outward against the band increases shoulder stability
Gripping a band may be more comfortable for some people's shoulders than gripping a fixed object like a PVC pipe","Start off by standing with your legs together, holding a bodybar or a broomstick.
Take a slightly wider than shoulder width grip on the pole and hold it in front of you with your palms facing down.
Carefully lift the pole up and behind your head.",3.0
lying-bent-leg-groin,Lying Bent Leg Groin,Adductors,Other,,,"Lie on your back with your knees bent and the soles of the feet pressed together. Have your partner hold your knees. This will be your starting position.
Attempt to squeeze your knees together, while your partner prevents any movement from occurring.
After 10-20 seconds, relax your muscles as your partner gently pushes your knees towards the floor. Be sure to inform your helper when the stretch is adequate to prevent injury or overstretching.",2.8
neck-smr,Neck-SMR,Neck,Body Only,,,"Using a muscle roller or a rolling pin, place the roller behind your head and against your neck. Make sure that you do not place the roller directly against the spine, but turned slightly so that the roller is pressed against the muscles to either side of the spine. This will be your starting position.
Starting at the top of your neck, slowly roll down the muscles of your neck, pausing at points of tension for 10-30 seconds.",2.8
foot-smr,Foot-SMR,Calves,Other,,,"This exercise stretches the fascia of the muscles in the feet. Start off seated with your shoes removed. Using a foot roller or a similar object, such as a small section of pvc pipe, place your foot against the roller across the arch of your foot. This will be your starting position.
Press down firmly, rolling across the arch of your foot. Hold for 10-30 seconds, and then switch feet.",2.7
one-knee-to-chest,One Knee To Chest,Glutes,Body Only,,,"Start off by lying on the floor.
Extend one leg straight and pull the other knee to your chest. Hold under the knee joint to protect the kneecap.
Gently tug that knee toward your nose.
Switch sides. This stretches the buttocks and lower back of the bent leg and the hip flexor of the straight leg.",2.7
standing-elevated-quad-stretch,Standing Elevated Quad Stretch,Quadriceps,Body Only,,,"Start by standing with your back about two to three feet away from a bench or step.
Lift one leg behind you and rest your foot on the step,either on your instep or the ball of your foot, whichever you find most comfortable.
Keep your supporting knee slightly bent and avoid letting that knee extend out beyond your toes. Switch sides.",2.7
wrist-circles,Wrist Circles,Forearms,Body Only,,,"Start by standing straight with your feet being shoulder width apart from each other. Elevate your arms to the side of you until they are fully extended and parallel to the floor at a height that is evenly aligned with your shoulders. Tip: Your torso and arms should form the letter ""T: Your palms should be facing down. This is the starting position.
Keeping your entire body stationary except for the wrists, begin to rotate both wrists forward in a circular motion. Tip: Pretend that you are trying to draw circles by using your hands as the brush. Breathe normally as you perform this exercise.
Repeat for the recommended amount of repetitions.",2.5
chair-leg-extended-stretch,Chair Leg Extended Stretch,Hamstrings,Other,,,"Sit upright in a chair and grip the seat on the sides.
Raise one leg, extending the knee, flexing the ankle as you do so.
Slowly move that leg outward as far as you can, and then back to the center and down.
Repeat for your other leg.",2.4
it-band-and-glute-stretch,IT Band and Glute Stretch,Abductors,Body Only,,,"Loop a belt, rope, or band around one of your feet, and swing that leg across your body to the opposite side, keeping the leg extended as you lay on the ground. This will be your starting position.
Keeping your foot off of the floor, pull on the belt, using the tension to pull the toes up. Hold for 10-20 seconds, and repeat on the other side.",2.4
lying-crossover,Single-leg lying cross-over stretch,Abductors,Body Only,"The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back, hips, and glutes. It involves rotating a single leg over the body while lying flat on the back. It is commonly included in dynamic warm-ups, but can also be performed as full-body mobility work anytime.","Stretches hips, glutes, and lower back
Encourages thoracic spine mobility
Great warm-up prior to squats or deadlifts","Lie on your back with your legs extended.
Cross one leg over your body with the knee bent, attempting to touch the knee to the ground. Your partner should kneel beside you, holding your shoulder down with one hand and controlling the crossed leg with the other. this will be your starting position.
Attempt to raise the bent knee off of the ground as your partner prevents any actual movement.
After 10-20 seconds, relax the leg as your partner gently presses the knee towards the floor. Repeat with the other side.",1.6
side-lying-floor-stretch,Side-Lying Floor Stretch,Lats,None,,,"First lie on your left side, bending your left knee in front of you to stabilize your torso (use your abdominal muscles as well to hold you upright).
Straighten your right leg and rest the right foot on the floor behind your left. Straighten your right arm over your head and gently pull on your right wrist to stretch the entire right side of the body. Switch sides.",1.0
posterior-tibialis-stretch,Posterior Tibialis Stretch,Calves,Bands,,,"In a seated position, loop a belt, rope, or band around one foot. This will be your starting position.
With the leg extended and the heel off of the ground, pull on the belt so that the foot is everted, with the outside of the foot being pulled towards you. Hold for 10-20 seconds, and then switch sides.",1.0
overhead-lat,Overhead Lat,Lats,Other,,,"Sit upright on the floor with your partner behind you. Raise one arm straight up, and flex the elbow, attempting to touch your hand to your back. Your parner should hold your tricep and wrist. This will be your starting position.
Attempt to pull your upper arm to your side as your partner prevents you from doing actually doing so.
After 10-20 seconds, relax the arm and allow your partner to further stretch the lat by applying gentle pressure to the tricep. Hold for 10-20 seconds, and then switch sides.",1.0
pyramid,Pyramid,Lower Back,Body Only,,,"Start off by rolling your torso forward onto the ball so your hips rest on top of the ball and become the highest point of your body.
Rest your hands and feet on the floor. Your arms and legs can be slightly bent or straight, depending on the size of the ball, your flexibility, and the length of your limbs. This also helps develop stabilizing strength in your torso and shoulders.",1.0
sled-drag-harness,Sled Drag - Harness,Quadriceps,Other,,,"To begin, load the sled with the desired weight and attach the pulling strap. You can pull with handles, use a harness, or attach the pulling strap to a weight belt.
Typically, sled drags are performed for a distance as fast as possible, from 30-100 feet. The sled can be pulled backwards to emphasize the quadriceps, or forwards to emphasize the posterior chain.2.  Whether pulling forwards or backwards, lean in the direction of travel and progress by extending through the hips and knees.",0.0
burpee-over-barbell,Burpee over barbell,Quadriceps,Other,"The burpee over barbell is an exercise that takes the burpee, a popular functional fitness move, and separates each rep with a lateral jump across the barbell. It works the cardiovascular system, but also the chest, quads, glutes, hamstrings, and abs. This exercise is a favorite of many athletes, including obstacle race participants.","Improves conditioning and athleticism
Serious cardiovascular challenge and calorie burn
Improves lateral agility","Place a loaded barbell on the floor and stand parallel to the bar with your legs shoulder-width apart. This will be your starting position.
Place your hands on the floor and kick your legs back so you end up with your stomach and thighs on the floor. Your elbows should be bent. This should be done quickly.
From this position, press up like you're doing a push-up and push your hips up. Jump your feet under your hips and begin to stand as you prepare to jump up.
As you jump, jump laterally (to the left or right) so that you land on the other side of the bar. This is one repetition.
Repeat steps 2 to 4 and return to the other side of the bar. Repeat for recommended number of repetitions.",0.0
medicine-ball-rotational-throw,Medicine ball rotational throw,Abdominals,Medicine Ball,"The medicine ball rotational throw is an explosive exercise targeting the abdominals, including the obliques, as well as the hips and upper back. It involves standing sideways to the wall and twisting the torso to hurl a medicine ball into the wall, then catching the ball on the ricochet. It can be performed for lower reps with a focus on power, or for higher reps with a focus on fat loss and conditioning.","Works the entire core, including the abdominals and obliques
Teaches hips, core, and upper body to coordinate muscular action
Great carryover to rotational sports","Stand with your side several feet away from a wall. Hold a medicine ball with both hands in an athletic stance. This will be your starting position.
Begin by rotating your shoulders away from the wall winding up in preparation for the throw. Immediately reverse direction, turning your shoulders and releasing the ball against the wall as fast as you can.
Receive the ball on the bounce and repeat the exercise for the desired number of repetitions.",0.0
burpee-to-medicine-ball-press,Medicine ball sprawl to chest press,Chest,Medicine Ball,"The medicine ball sprawl to chest press is a sequence of athletic movements using a medicine ball or other small weight. It involves performing a sprawl with the hands on the ball, followed by a standing chest press holding the ball. It is challenging to the cardiovascular system, but also the muscles of the core, shoulders, and upper back. It can be performed for reps or for time, usually in dedicated ab training or as part of a medicine ball and bodyweight circuit workout.","Intense cardiovascular challenge and calorie burn
Hits most of the muscles of the upper and lower body: back, shoulders, core, hips, legs, and chest
Upper back and core must stabilize isometrically during the chest press
Can be performed on a dumbbell if no medicine ball is available","Start with a medicine ball a couple feet in front of you. With your feet about hip-width apart, squat down and place your hands on the medicine ball while simultaneously jumping your feet out into a plank position. Quickly jump your feet out into a wide squat stance, pick up the ball, and press it forward, away from your chest.
Reverse the motion by bringing the ball back into your chest, squatting down, and jumping back into a plank position. This is one rep. Repeat for the recommended number of reps.
For the duration of this exercise the medicine ball should never leave your hands.",0.0
bosu-ball-crunch,Bosu Ball Crunch,Abdominals,Bosu Ball,,,"Lay with the small of your back against the round side of a Bosu ball. Your knees should be bent with your feet flat on the ground. Fold your arms across your chest. This will be your starting position.
Perform the movement by flexing the lumbar spine raising your torso. Do not flex the hips.
At the top of the motion pause, and then return to the starting position.",0.0
dumbbell-overhead-squat,Dumbbell Overhead Squat,Quadriceps,Dumbbells,,,"From a standing position, press a pair of dumbbells overhead by extending the elbows and flexing the shoulders. You should be looking directly forward, with your chest up, knees and hips slightly bent, and your back straight. This will be your starting position.
Descend into a squat by flexing your hips and knees. As you squat, keep your weight on your heels and push your knees out. Maintain proper curvature of your entire spine, from the lower back all the way up through your cervical spine.
Descend as far as your flexibility allows or until you have reached a full squat position. Avoid excessive forward lean, rounding your lumbar or thoracic spine, and keep the dumbbell in place throughout the exercise.
After a brief pause, return to the starting position by extending through the hips and knees. Repeat for the desired number of repetitions",0.0
front-squat-push-press,Front Squat Push Press,Quadriceps,Barbell,,,"Set the bar in a rack slightly below shoulder level so that when under it, your knees are slightly bent. Rest the bar on top of the deltoids, pushing into the clavicles, and lightly touching the throat. Your hands should be in a clean grip, touching the bar only with your fingers to help keep it in position.
Push upward into the bar and push your hips forward to unrack. Step away from the rack and position your legs using a shoulder-width medium stance with the toes slightly pointed out. Keep your head and elbows up at all times. Your triceps should remain parallel with the ground. Keep a neutral neck and flat back. This will be your starting position.
Descend into a squat by pushing your hips and butt back. Continue down until the upper legs are at or just below parallel to the floor. Inhale as you perform this portion of the movement.
As you prepare to ascend, push through your heels and begin to wrap your fingers tightly around the bar for a firm grip.
Begin pressing the bar up towards the ceiling as you begin squatting upwards, allowing your neck to hyperextend so that the bar has room to move. A final position will be one in which your arms are fully extended overhead and knees slightly bent, maintaining tight ness from head to toe.
Lower the bar slowly to the starting position, allowing your knees to bend slightly to lessen the blow. Repeat for recommended number of repetitions.",0.0
half-kneeling-dumbbell-shoulder-press,Single-arm half-kneeling shoulder press,Shoulders,Dumbbell,"The single-arm half-kneeling shoulder press is a popular exercise to target the deltoid muscles while also developing strength and stability in the core and hips. Balance can be a challenge, which is one reason why this movement is generally trained lighter than standing single-arm shoulder presses. The half-kneeling press can be used as an accessory lift for the shoulder press or bench press, or simply as a technique to make shoulder presses stricter and more athletic.","Builds size and strength in the deltoids and triceps
Forces the core to stabilize an uneven load
Hips, back, and trunk all work to stabilize in a half-kneeling position","Select an appropriate load and adopt a half-kneeling position on the floor. Your right knee should be down, and your left knee up; take the weight with your right hand. Clean the dumbbell to your shoulder, using both hands if necessary. You should start with a neutral grip, with the palm in. Keep your head up, shoulders back, and your spine neutral. This will be your starting position.
Initiate the movement by extending the arm, flexing and abducting the shoulder to rotate the arm as you press above your head. Pause at the top of the motion before reversing the movement to return to the starting position.
Complete the desired number of repetitions before switching to the opposite side.",0.0
hand-stand-push-up,Hand Stand Push-Up,Shoulders,Body Only,"The handstand push-up is an exercise targeting the shoulders, although other muscles assist in the completion of the reps. It is common in both CrossFit workouts and advanced bodyweight or calisthenics training. Given the degree of difficulty, beginners will want to progress to this move.","Builds and strengthens the shoulders
The core works hard to maintain stability during the up-and-down movement
If full ROM is too difficult at first, can reduce it by placing a pad under head","Begin by facing a wall, standing 3 to 4 feet away from it. Bending at the waist, lower your arms down to the ground and place them 4 to 6 inches from the wall, while simultaneously kicking your legs up towards the wallâ€”this is to be done in a quick, continuous motion.
Keep your glutes and abdominals tight, and your arms and legs fully extended. This will be your starting position. Begin to lower yourself to the ground, maintaining fully extended legs and feet together. Keep your elbows at roughly a 45 degree angleâ€”not flared completely out nor in a straight line with your upper arms.
Lower yourself until the top of your head grazes the ground. Once the bottom position is achieved, push through the hands, keeping your legs straight, and glutes and core tight, and return to the starting position. Repeat for the recommended number of repetitions.",0.0
weighted-push-up,Weighted Push-Up,Chest,Other,"The plate-weighted push-up is a simple way to make a classic bodyweight exercise more difficult. It targets all the same muscles as the push-up: chest, triceps, shoulders, upper back, and core. You can balance a plate on your upper back yourself, but it's easier and safer to have someone else put it there. If you stack a few plates up, be sure to have a spotter close at hand.","Great for building the chest and triceps
The weight plates allow for progressive resistance on a bodyweight exercise
Can be performed as a dropset with bodyweight push-ups","Start by holding a plate with both hands at chest level. Lower yourself down into a kneeling position, and bring the plate behind your head. Take one hand off of the plate and bring it down to the floor to help support your body while you place the weight on your back. Extend your legs back so that you are in a full plank position. Once the plate feels secure on your back, bring your other arm down and place your hands about 36 inches apart. This part can be simplified by having a partner place the weight on your back. This will be your starting position.
Lower yourself down until your chest almost touches the floor as you inhale. Next, breathe out and press your upper body back into the starting position.
Repeat this pattern for the desired number of repetitions.",0.0
wall-walk,Wall walk,Shoulders,Body Only,"The wall walk is a challenging exercise that works the entire body. From a push-up position, the hands walk back as the feet walk up the wall, then the whole movement is reversed. This is not for beginners, who will need to progress to this exercise.","Builds upper-body strength, particularly in the shoulders
Improves balance and coordination
Serious core work and cardiovascular challenge","Begin in a push-up position with your feet against the wall.
Walk your feet up the wall while simultaneously walking your hands back towards the wall. Keep your core as tight as possible. Walk up until you are as flat to the wall as you can get.
Walk your hands away from the wall and your feet down the wall until you are back in the push-up position. Repeat for the desired number of repetitions.",0.0
walking-lunge-with-overhead-weight,Dumbbell walking lunge-,Quadriceps,Other,"The dumbbell walking lunge is a popular lower-body movement that targets the muscles of the quads, glutes, hamstrings, and hips. It also works the core and upper-back muscles to maintain posture while the lower body moves. The dumbbell walking lunge is often performed for moderate to high reps, such as 8-12 reps per leg or more, as part of the lower-body portion of a workout. If this movement hurts your knees, try performing reverse lunges or split squats instead.","Simple way to overload lunge movement pattern
Shorter steps will target the quads more, while larger steps will target the glutes more
Helps improve hip flexibility and core stability","Select a plate that youâ€™re able to hold overhead for a time of at least 30 seconds. Grasping the plate with both hands, raise it overhead until your arms are fully extended. Stand with your feet shoulder-width apart, arms fully extended overhead. This will be your starting position.
Step forward with one leg, flexing the knees to drop your hips. Descend until your rear knee touches the ground. Your posture should remain upright, and your front knee should stay above the front foot.
Drive through the heel of your lead foot and extend both knees to raise yourself back up. Step forward with your rear foot, repeating the lunge on the opposite leg.
Repeat for recommended number of repetitions.",0.0
suitcase-crunch,Suitcase crunch,Abdominals,Other,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout.","Strengthens the abs and hip flexors
Constant tension on the abs throughout the movement
Requires no equipment","Begin by lying on your back on the ground. Your legs should be straight and your arms extended behind your head. This will be your starting position.
To perform the movement, tuck the knees toward your chest, rotating your pelvis to lift your glutes from the floor. As you do so, flex the spine, bringing your arms back over your head to perform a simultaneous crunch motion.
After a brief pause, return to the starting position.",0.0
seated-scissor-kick,Seated Scissor Kick,Abdominals,Body Only,,,"To begin, lie down with your back pressed against the floor or on an exercise mat (optional). Your arms should be fully extended to the sides with your palms facing down. Note: The arms should be stationary the entire time.
With a slight bend at the knees, lift your legs up so that your heels are about 6 inches off the ground. Contract your abs and bring your back slightly off the floor This is the starting position.
Kick both legs outwards, as if you were opening a pair of scissors. Bring your legs back to the center and cross them over each other (closing scissors).
Perform the scissor kick in alternating fashion, keeping your abs flexed at all times.
Repeat for the recommended amount of repetitions.",0.0
sled-reverse-flye,Sled Reverse Flye,Shoulders,Other,,,"Attach dual handles to a sled connected by a rope or chain. Load the sled to a light weight.
Face the sled, backing up until there is some tension in the line. Take both handles at arms length at about waist level. Bend the knees slightly and keep your chest and head up. This will be your starting position.
Without flexing the elbow, pull the handles upward and apart, performing a reverse fly with some external rotation. Your palms should be facing forward as you do this.
Return to the starting position, taking a couple steps back to take the slack out of the line.",0.0
dumbbell-squat-to-shoulder-press,Dumbbell thruster,Quadriceps,Dumbbell,"The dumbbell thruster, which begins with a squat and ends with an overhead press, works the entire body at once in a single fluid motion. This exercise is often performed with kettlebells, but dumbbells are also a great option.","Helps improve coordination, muscular endurance, and balance
Develops core stability
Burns a lot of calories in a short amount of time","Begin in a standing position with a dumbbell in each hand. Clean the dumbbells to shoulder height utilizing a jumping motion and shoulder rotation. Your palms should be facing each other and the elbows pointed forward. Look directly forward, keep your chest up, and place your feet about shoulder-width apart. This will be your starting position.
Initiate the movement with a squat, flexing the knees and hips to lower your body. Descend as far as flexibility allows, maintaining good posture in the spine, hips, and knees.
Pause for a brief moment at the bottom of the squat before returning to a standing position by extending the hips and knees.
After fully rising to a standing position, press the weights overhead by extending the elbows and flexing at the shoulder.
Return the weights to the shoulder before repeating the entire movement for additional repetitions.",0.0
thigh-killa,Thigh killa,Quadriceps,Body Only,"The thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.","Builds muscular strength and endurance in the hamstrings, glutes, quads, and abductors
Works core strength to maintain balance and upright position
Great dynamic warm-up or finisher to a leg workout
Challenges the muscles to work through the tension and continuous movement
Requires no equipment","Begin in a standing position with your feet hip-distance apart and your hands behind your head. Descend into a squat position by bending at the knees and hips. This will be your starting position.
Take two small jumps out, then two small jumps back in, making sure that your feet never come closer than hip-distance.
Throughout the entire movement, youâ€™ll want to stay in the squat position, keeping your hips back, butt down, and chest up.
Continue for the recommended time or number of reps.",0.0
sumo-deadlift-with-bands,Sumo Deadlift with Bands,Hamstrings,Barbell,,,"To deadlift with short bands, simply loop them over the bar before you start, and step into them to set up. Ensure that they under the back half of your foot, directly where you are driving into the floor.
Begin with a bar loaded on the ground. Approach the bar so that the bar intersects the middle of the feet. The feet should be set very wide, near the collars. Bend at the hips to grip the bar. The arms should be directly below the shoulders, inside the legs, and you can use a pronated grip, a mixed grip, or hook grip.
Take a breath, and then lower your hips, looking forward with your head with your chest up. Drive through the floor, spreading your feet apart, with your weight on the back half of your feet. Extend through the hips and knees.
As the bar passes through the knees, lean back and drive the hips into the bar, pulling your shoulder blades together.
Return the weight to the ground by bending at the hips and controlling the weight on the way down.",0.0
partner-facing-feet-elevated-side-plank-with-band-row,Partner Facing Feet-Elevated Side Plank With Band Row,Middle Back,Bands,,,"Get into a side plank position by balancing your weight on one elbow and stacking your feet about 6 inches off the floor. Keeping your body straight, lift your hips off the floor. Your body should face your partner, about 7 feet away.
Grasp one end of an elastic band with your top-side hand, arm extended. This will be your starting position.
Without twisting your bodies, simultaneously pull your elbows back as far as possible in a rowing motion to stretch the band, then release and again extending your arms forward.
Do all reps for one side before switching sides.",0.0
barbell-reverse-lunge,Barbell reverse lunge,Quadriceps,Barbell,"The barbell reverse lunge is a popular lower-body exercise targeting the quads, glutes, and hamstrings. Using a barbell allows you to overload the exercise beyond body weight and perform the movement in strength or muscle-focused rep ranges. The reverse lunge can be performed as part of a barbell complex, in a circuit, or on its own in the lower-body portion of any workout.","Serious challenge to all lower-body muscles
Many lifters find it more knee-friendly than forward or walking lunges
The stationary front leg helps maintain balance
Great accessory movement for squats","Position a weighted bar across your upper back holding the ends with your hands to keep it stable. Alternately, you can do this in a squat rack to more easily get into the starting position. Stand erect with your chest out and your shoulders back, maintaining the natural curve in your back and knees unlocked. Your feet should be about hip width apart. This is your starting position.
Staying erect, initiate the movement by stepping back with one foot about 2 feet, keeping your hips facing forward as the toe of your back foot makes contact first. Then allow both knees to bend and descend just short of allowing your trailing knee to touch the floor.
Your body should continue to be upright. Don't lean forward or allow you back to round. Press back up by pushing through your back foot maintaining balance as you return to the starting position.
Repeat on the opposite side, and repeat for the desired number of repetitions.",0.0
one-arm-kettlebell-floor-press,One-Arm Kettlebell Floor Press,Chest,Kettlebells,,,"Lie on the floor holding a kettlebell with one hand, with your upper arm supported by the floor. The palm should be facing in.
Press the kettlebell straight up toward the ceiling, rotating your wrist.
Lower the kettlebell back to the starting position and repeat.",0.0
prone-manual-hamstring,Prone Manual Hamstring,Hamstrings,Body Only,,,"You will need a partner for this exercise. Lay face down with your legs straight. Your assistant will place their hand on your heel.
To begin, flex the knee to curl your leg up. Your partner should provide resistance, starting light and increasing the pressure as the movement is completed. Communicate with your partner to monitor appropriate resistance levels.
Pause at the top, returning the leg to the starting position as your partner provides resistance going the other direction.",0.0
suspended-leg-curl,Suspended Leg Curl,Hamstrings,Other,,,"Lie on your back in front of suspension straps adjusted to 12 to 18 inches off the ground. Place your feet in the straps, and then push down to raise your hips from the floor. Extend the knees, remembering to keep the body straight. This will be your starting position.
To perform the movement, flex the knees, drawing your feet towards your glutes. Pause at the peak of the contraction, and then slowly return to the starting position.",0.0
single-leg-box-jump,Single-Leg Box Jump,Quadriceps,Other,,,"Select a box or step of a height appropriate to your abilities. Single-leg jumps will require lower boxes than double-legged versions, and caution should be used due to a higher risk associated with the exercise. To begin, stand 6-12 inches in front of the box. Your feet should be shoulder-width apart, your knees and hips slightly bent, with good posture throughout your spine. This will be your starting position.
To initiate the movement, lift one foot slightly off the floor to transfer the load to the working leg. Begin flexing the hips and knees into a quarter squat, generating an elastic force that will be used to power your jump. Swing your arms behind you in preparation for the movement.
Explode out of the hole, extending your hip, knee, and ankle of your working leg to propel you upward and slightly forward, striving for maximum height. Swing your arms forward as you jump for added momentum.
As you land on the platform, absorb the impact by allowing the hips and knees to flex into a partial squat. Use both legs to step down and return to the starting position. It is not advised to jump down from the box during this exercise.",0.0
v-sit-lying-down-ball-throw-and-catch,Hollow-hold ball toss,Abdominals,Medicine Ball,"The hollow-hold ball toss is a more difficult version of the hollow-body hold exercise. It involves tossing a ball to a partner while maintaining an isometric hold in the hollow-body position. It can be done for reps or time in any ab-focused workout, or in an ""I go, you go"" format.","Ball catch and toss are an extra challenge to core stability
Partners can challenge each other more than they might if doing the exercise alone
Hits the core hard enough that it can be the only component of an ab workout","Lie supine on the floor holding a medicine ball between your hands just off your chest with your head and feet just off the floor, legs fully extended. This will be your starting position.
Keeping your abdominals isometrically contracted to prevent your feet from touching the floor, throw the ball a few feet directly upward and catch it on the way down. Immediately repeat again for reps or time.",0.0
southpaw-sprawl,Southpaw sprawl,Quadriceps,Body Only,"The southpaw sprawl is a full-body movement that combines elements of a single-arm plank and a sprawl. It also has a rotational component, with a jumping leg-cross and torso twist in a single-arm plank position. It is a challenging move that trains balance, core strength, and many muscle groups, making it work well in a time-efficient bodyweight circuit workout.","Serious challenge to the supporting shoulder muscles
Increases core strength and stability while lower body moves
Great for added variety to high-intensity training
Serious cardiovascular challenge and calorie burn","Begin in a standing position with your chest up and your feet hip-width apart. This will be your starting position.
Bend at the knees and hips, placing one hand on the ground and jumping your feet out slightly wider than hip-distance apart.
Keeping your one hand on the ground, quickly cross your feet, then jump them back out before jumping into a wide squat.
Jump back up to the starting position and repeat with the other arm. Make sure to alternate arms each rep.",0.0
conans-wheel,Conan's Wheel,Quadriceps,Other,,,"With the weight loaded, take a zurcher hold on the end of the implement. Place the bar in the crook of the elbow and hold onto your wrist. Try to keep the weight off of the forearms.
Begin by lifting the weight from the ground. Keep a tight, upright posture as you being to walk, taking short, fast steps. Look up and away as you turn in a circle. Do not hold your breath during the event. Continue walking until you complete one or more complete turns.",0.0
jm-press-with-bands,JM Press With Bands,Triceps,Barbell,,,"Load the bar to an appropriate weight for your training. Attach short bands to the bar, anchoring them to heavy dumbbells that cannot move.
Lay on the bench with your feet flat on the ground, driving through with your hips. Your back should be arched and your shoulder blades retracted.
Take a medium pronated grip, covering the rings on the bar. Remove the bar from the rack, holding the weight above your clavicle with your arms extended. This will be your starting position.
Lower the bar by displacing your elbows forward. The bar should only move vertically, making the exercise resemble a hybrid bench press and skull-crusher.
Lower the weight but stop short of allowing it to touch your chest, then return the bar to the starting position.",0.0
kettlebell-side-squat,Kettlebell side squat,Quadriceps,Kettlebells,"The kettlebell side squat is a popular movement to build mobility and lateral strength in the hips. It can be performed for time or for reps, either on its own or as part of a kettlebell circuit, complex, or flow.","Using the kettlebell as a counterweight can enable greater squat depth
Stretches the adductors and builds hip mobility
Effective even with a light weight","Begin in a standing position with your chest up and your feet hip-width apart. Bend your knees to pick up the kettlebell and swing it up to chest level. This will be your starting position.
Step one foot out to the side, bringing your feet slightly wider than shoulder-width. Bend at the knees and hips, pushing your hips back. Continue until your thighs are parallel to the ground.
Return to the starting position by extending at the hips and knees and repeat on the opposite side.
Complete for the recommended number of repetitions.",0.0
single-leg-hop-progression,Single-Leg Hop Progression,Quadriceps,Other,,,"Arrange a line of cones in front of you. Assume a relaxed standing position, balanced on one leg. Raise the knee of your opposite leg. This will be your starting position.
Hop forward, jumping and landing with the same leg over the cone.
Use a countermovement jump to hop from cone to cone.
At the end, turn around and go back on the other leg.",0.0
